,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
1082,Unidentified Armed Group (Haiti),Civilians (Haiti),Artibonite,Gonaives,Gonaives,,,Haiti,6958439,2019-05-06,HTI79,79,Violence against civilians,1,2,3,7,37,332,HTI,19.4475,Gonaives,-72.6890,"On May 6, 2019, a man was shot and killed by unknown gunmen driving on a motorbike near the city of Gonaives, Artibonite, Haiti.",Caribbean,Le Nouvelliste,National,Attack,1,1582840328,2019
1083,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Toa Alta,,,,,Puerto Rico,6941231,2019-05-05,PRT88,88,Violence against civilians,1,1,3,7,37,630,PRI,18.3883,Toa Alta,-66.2482,"On May 5, 2019, the body of a man who had been set on fire with multiple bullet wounds, was found in the Quebrada Arena neighborhood in the city of Toa Alta, Puerto Rico.",Caribbean,El Nuevo Dia (Puerto Rico),National,Attack,1,1582839952,2019
1084,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Clarendon,,,,,Jamaica,6958909,2019-05-05,JAM57,57,Violence against civilians,2,1,3,7,37,388,JAM,17.9457,Sandy Bay,-77.1772,"On May 5, 2019, two people were shot and killed by three unknown gunmen in the city of Sandy Bay, Clarendon, Middlesex County, Jamaica.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1085,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),San Juan-Laventille,,,,Women (Trinidad and Tobago),Trinidad and Tobago,6962545,2019-05-05,TTQ76,76,Violence against civilians,1,1,3,7,37,780,TTO,10.6579,San Juan,-61.4457,"On May 5, 2019, a woman part of the witness protection program was shot and killed by unknown gunmen who pretended to be police in the city of Barataria, San Juan-Laventille, Trinidad and Tobago.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1086,Police Forces of Trinidad and Tobago (2015-),Unidentified Armed Group (Trinidad and Tobago),Diego Martin,,,,,Trinidad and Tobago,6928452,2019-05-03,TTQ75,75,Battles,3,1,1,3,13,780,TTO,10.6887,Carenage,-61.5930,"On May 3, 2019, during an armed clash between the police and a group of armed men in the city of Carenage, Diego Martin, Trinidad and Tobago, at least six people were injured and three people died.",Caribbean,Trinidad and Tobago Guardian; Newsday Trinidad and Tobago,National,Armed clash,1,1582839785,2019
1087,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),San Juan-Laventille,,,,,Trinidad and Tobago,6962619,2019-05-02,TTQ74,74,Violence against civilians,0,1,3,7,37,780,TTO,10.6579,San Juan,-61.4457,"On May 2, 2019, a man was shot and injured by unknown gunmen in a drive-by shooting in the city of Morvant, San Juan-Laventille, Trinidad and Tobago.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1088,Protesters (Puerto Rico),,San Juan,,,Labour Group (Puerto Rico),,Puerto Rico,6945302,2019-05-01,PRT87,87,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On May 1, 2019, protesters part of several labor unions took the street of the capital city of Puerto Rico, San Juan in the light of Labor Day. [size=no report]",Caribbean,El Vocero de Puerto Rico,National,Peaceful protest,1,1582840209,2019
1089,Protesters (Saint-Martin),,Saint-Martin,,,Labour Group (Saint-Martin),,Saint-Martin,6995286,2019-05-01,MAF3,3,Protests,0,1,6,0,60,663,MAF,18.0682,Marigot,-63.0830,"On May 1, 2019, various protesters part of different labor unions marched through the streets of Marigot, Saint-Martin, in the light of Labor Day. [size=no report]",Caribbean,SXM Talks,National,Peaceful protest,1,1584465212,2019
1090,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,Labour Group (Haiti),,Haiti,6985158,2019-05-01,HTI484,484,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 1 May 2019, in Port-au-Prince, several workers' organisations marched to demand a raise of the minimum wage from 420 to 1500 gourdes on international labour day. [size=no report]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
1091,Unidentified Armed Group (Haiti),Civilians (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,Police Forces of Haiti (2011-),Haiti,6958619,2019-04-29,HTI77,77,Violence against civilians,1,1,3,7,37,332,HTI,18.5435,Port-au-Prince,-72.3388,"On April 29, 2019, a police man in plain clothes (probably off duty) was shot and killed by unknown gunmen while on a bus in the city of Cite Soleil, Port-au-Prince, Ouest, Haiti.",Caribbean,Loop News Haiti,National,Attack,1,1582840328,2019
1092,Police Forces of Haiti (2011-),Ti Je Gang,Ouest,Port-au-Prince,Carrefour,,,Haiti,6926161,2019-04-29,HTI76,76,Battles,1,1,1,3,13,332,HTI,18.5411,Carrefour,-72.3992,"On April 29, 2019, the Ti Je gang leader was shot and killed in an armed clash with the Haitian Police Forces in the Delmas 83 section of the city of Carrefour in Port-au-Prince, Ouest, Haiti.",Caribbean,Loop News Haiti; Le Nouvelliste,National,Armed clash,1,1582839778,2019
1093,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Caguas,,,,,Puerto Rico,6945318,2019-04-28,PRT85,85,Violence against civilians,0,1,3,7,37,630,PRI,18.2341,Caguas,-66.0485,"On April 28, 2019, a man was shot and injured by unknown gunmen in a vehicle in the Villas de Castro neighborhood in the city of Caguas, Puerto Rico.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840209,2019
1094,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),San Sebastian,,,,,Puerto Rico,6945324,2019-04-28,PRT86,86,Violence against civilians,0,1,3,7,37,630,PRI,18.3366,San Sebastian,-66.9902,"On April 28, 2019, three men were shot and injured by unknown gunmen in a car in the Loma neighborhood in the town of San Sebastian, Puerto Rico. The victims were attacked next to a drug selling point.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840209,2019
1095,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Aguas Buenas,,,,,Puerto Rico,6928297,2019-04-28,PRT84,84,Violence against civilians,1,1,3,7,37,630,PRI,18.2569,Aguas Buenas,-66.1029,"On April 28, 2019, the burned body of a man who was shot and killed by unknown gunmen was found in the town of Aguas Buenas, Puerto Rico.",Caribbean,El Vocero de Puerto Rico; El Nuevo Dia (Puerto Rico),National,Attack,2,1582839785,2019
1096,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),San Juan-Laventille,,,,,Trinidad and Tobago,6962616,2019-04-28,TTQ73,73,Violence against civilians,1,1,3,7,37,780,TTO,10.6579,San Juan,-61.4457,"On April 28, 2019, five men were shot by two gunmen in the city of Morvant, San Juan-Laventille, Trinidad and Tobago. One man died as a result of his injuries.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1097,Protesters (Puerto Rico),,San Juan,,,Military Forces of Puerto Rico (2017-2019) National Guard,,Puerto Rico,6941267,2019-04-26,PRT83,83,Protests,0,1,6,0,60,630,PRI,18.4663,San Juan,-66.1057,"On May 26, 2019, 1700 members of the Puerto Rican National Guard took the streets of San Juan, Puerto Rico, to protest sexual violence. [size=1700]",Caribbean,El Nuevo Dia (Puerto Rico),National,Peaceful protest,1,1582839952,2019
1098,Rioters (Haiti),Police Forces of Haiti (2011-),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6982746,2019-04-26,HTI475,475,Riots,0,1,5,1,15,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 26 April 2019, in Port-au-Prince, more than a hundred of people started a sit-in in front of the Court of Auditors and Administrative Litigation (Cscca) to demand the full report on the management of the PetroCaribe funds. Demonstrators started setting tires on fire but were stopped by the national police. Demonstrators threw stones at the police. [size=more than a hundred]",Caribbean,Alterpresse,National,Violent demonstration,1,1583792127,2019
1099,Rasta City Gang,Muslims Gang,Port of Spain,,,,,Trinidad and Tobago,6962597,2019-04-26,TTQ71,71,Battles,1,1,3,3,33,780,TTO,10.6667,Port of Spain,-61.5189,"On April 26, 2019, a man was shot and killed by unknown gunmen while driving in his car near the ward of Laventille, Port of Spain, Trinidad and Tobago. The shooting was allegedly related to the ongoing gang feud between the Rasta City and Muslim war.",Caribbean,Newsday Trinidad and Tobago,National,Armed clash,1,1582840340,2019
1100,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Tunapuna/Piarco,,,,,Trinidad and Tobago,6962622,2019-04-26,TTQ72,72,Violence against civilians,1,1,3,7,37,780,TTO,10.6420,Saint Augustine,-61.3924,"On April 26, 2019, a man was shot, chopped and killed by unknown perpetrators on First Private Road near Saint Augustine, Tunapuna-Piarco, Trinidad and Tobago.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1101,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Saint James,,,,Women (Jamaica),Jamaica,6958890,2019-04-25,JAM56,56,Violence against civilians,1,1,3,7,37,388,JAM,18.4409,Lima,-77.7811,"On April 25, 2019, an elderly woman was set on fire and died as a result of it by an unknown perpetrator who approached her in her community of Lima, Saint Jams parish, Cornwall County, Jamaica.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1102,Rioters (Haiti),Civilians (Haiti),San Jose de Ocoa,San Jose de Ocoa,,Vigilante Group (Haiti),,Dominican Republic,6939858,2019-04-25,DOM8,8,Riots,1,1,5,7,57,214,DOM,18.5466,San Jose de Ocoa,-70.5063,"On April 25, 2019, a Haitian citizen was stabbed and killed by a group of Haitian citizens at the La Cienega stop in the Los Corozos sector in the city of San Jose de Ocoa, Valdesia, Dominican Republic. This allegedly as a result of the victim robbing in the area. [size=no report]",Caribbean,El Nacional (Dominican Republic),National,Mob violence,1,1582839948,2019
1103,Police Forces of Jamaica (2016-),Unidentified Armed Group (Jamaica),Kingston,,,,,Jamaica,6958846,2019-04-25,JAM55,55,Battles,1,1,1,3,13,388,JAM,17.9970,Kingston,-76.7936,"On April 25, 2019, following the shooting of a man in Denham Town in Kingston, Jamaica, the gunman was shot and killed by the police.",Caribbean,Loop News Jamaica,National,Armed clash,1,1582840329,2019
1104,Ti Je Gang,Civilians (Haiti),Ouest,Port-au-Prince,Carrefour,,,Haiti,6985245,2019-04-24,HTI75,75,Violence against civilians,8,1,3,7,37,332,HTI,18.5411,Carrefour,-72.3992,"On 24 April 2019, in Carrefour, 8 people died and several others were injured during a shooting. Members of the Ti Je Gang entered the Carrefour-Feuilles neighbourhood in Port-au-Prince, Ouest, Haiti and opened fire on civilians.",Caribbean,Alterpresse; Loop News Haiti,National,Attack,1,1583951172,2019
1105,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Tunapuna/Piarco,,,,,Trinidad and Tobago,6962580,2019-04-23,TTQ70,70,Violence against civilians,1,1,3,7,37,780,TTO,10.6185,Maloney Gardens,-61.3201,"On April 23, 2019, a man was shot and killed in front of his home in Maloney Gardens, Tunapuna-Piarco, Trinidad and Tobago, by unknown gunmen during a drive-by shooting.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1106,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Manchester,,,,,Jamaica,6958770,2019-04-22,JAM54,54,Violence against civilians,3,1,3,7,37,388,JAM,18.0811,Bellefield,-77.4515,"On April 22, 2019, three people were shot and killed, execution style, by unknown gunmen in the town of Bellefield, Manchester, Middlesex County, Jamaica.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1107,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6985157,2019-04-22,HTI483,483,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On 22 April 2019, in Port-au-Prince, several dozens of residents in Tokyo, Lasaline and Cite Soleil organised a peaceful march to demand justice to be made after their houses were burned by gang members. [size=several dozens]",Caribbean,Alterpresse,National,Peaceful protest,1,1583951163,2019
1108,Unidentified Armed Group (Haiti),Police Forces of Haiti (2011-),Artibonite,Dessalines,Petite Riviere de l'Artibonite,,,Haiti,6982745,2019-04-19,HTI474,474,Battles,0,1,3,1,13,332,HTI,19.1240,Petite Riviere de l'Artibonite,-72.4817,"On 19 April 2019, in Petite Riviere de L'Artibonite, Artibonite, an armed group opened fire against a police station. No fatalities were reported.",Caribbean,Alterpresse,National,Armed clash,1,1583792127,2019
1109,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Port of Spain,,,,,Trinidad and Tobago,6962547,2019-04-18,TTQ69,69,Violence against civilians,2,1,3,7,37,780,TTO,10.6667,Port of Spain,-61.5189,"On April 18, 2019, two men were shot and killed by two gunmen while driving on the Eastern Main Road in the ward of Laventille, Port of Spain, Trinidad and Tobago.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1110,Unidentified Armed Group (Jamaica),Police Forces of Jamaica (2016-),Clarendon,,,,,Jamaica,6958848,2019-04-17,JAM53,53,Battles,0,1,3,1,13,388,JAM,18.1579,Spalding,-77.4567,"On April 17, 2019, a police station in the city of Spalding, Clarendon, Middlesex County, Jamaica, was attacked by unknown gunmen. One officer was injured during the shooting.",Caribbean,Loop News Jamaica,National,Armed clash,1,1582840329,2019
1111,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Penal-Debe,,,,,Trinidad and Tobago,6958926,2019-04-17,TTQ67,67,Violence against civilians,1,1,3,7,37,780,TTO,10.2085,Debe,-61.4527,"On April 17, 2019, a man was shot and killed when two gunmen entered is home. Another man was present and escaped the gunmen. The event happened in the town of Debe, Penal-Debe, Trinidad and Tobago.",Caribbean,Loop News Trinidad and Tobago,National,Attack,1,1582840329,2019
1112,Unidentified Armed Group (Trinidad and Tobago),Civilians (Trinidad and Tobago),Chaguanas,,,,,Trinidad and Tobago,6962546,2019-04-17,TTQ68,68,Violence against civilians,0,1,3,7,37,780,TTO,10.5088,Longdenville,-61.3826,"On April 17, 2019, a man was shot and injured by unknown gunmen near Lamont street in the city of Longdenville, Chaguanas, Trinidad and Tobago. The shooting was allegedly as a result of gang violence.",Caribbean,Newsday Trinidad and Tobago,National,Attack,1,1582840340,2019
1113,Unidentified Armed Group (Jamaica),Civilians (Jamaica),Westmoreland,,,,,Jamaica,6958776,2019-04-17,JAM52,52,Violence against civilians,1,1,3,7,37,388,JAM,18.2190,Savanna-la-Mar,-78.1332,"On April 17, 2019, two men were shot by unknown gunmen in a drive-by shooting in the city of Savanna-la-Mar in the parish of Westmoreland, Cornwall County, Jamaica. One man died as a result of his injuries.",Caribbean,Loop News Jamaica,National,Attack,1,1582840329,2019
1114,Rioters (Jamaica),Civilians (Jamaica),Kingston,,,Vigilante Group (Jamaica),,Jamaica,6958807,2019-04-17,JAM51,51,Riots,1,1,5,7,57,388,JAM,17.9970,Kingston,-76.7936,"On April 17, 2019, a man was killed by residents of Sterling Castle as he was accused of being responsible for the death of a high school student coming from the town in the parish of Saint Andrew in Kingston, Jamaica. [size=no report]",Caribbean,Loop News Jamaica,National,Mob violence,1,1582840329,2019
1115,Protesters (Jamaica),,Kingston,,,,,Jamaica,6958858,2019-04-15,JAM50,50,Protests,0,1,6,0,60,388,JAM,17.9970,Kingston,-76.7936,"On April 15, 2019, residents of Sterling Castle in the parish of Saint Andrew in Kingston, Jamaica, blocked a road out of protest of the lacking police actions to locate a high school student that had been missing. [size=no report]",Caribbean,Loop News Jamaica,National,Peaceful protest,1,1582840329,2019
1116,Unidentified Armed Group (Puerto Rico),Civilians (Puerto Rico),Cidra,,,,,Puerto Rico,6945316,2019-04-15,PRT82,82,Violence against civilians,1,1,3,7,37,630,PRI,18.1758,Cidra,-66.1613,"On April 15, 2019, a man was shot and killed by unknown gunmen in the El Salto neighborhood in the city of Cidra, Puerto Rico. He was found hands tied.",Caribbean,El Vocero de Puerto Rico,National,Attack,1,1582840209,2019
1117,Unidentified Gang (Haiti),Unidentified Gang (Haiti),Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958458,2019-04-15,HTI74,74,Battles,0,1,3,3,33,332,HTI,18.5435,Port-au-Prince,-72.3388,"On April 15, 2019, clashes between gangs from the Jeremie, Fort-Dimanche, Fort Touron and Tokyo neighborhoods took place in the city of La Saline, Port-au-Prince, Haiti. Large parts of the city were shut down.",Caribbean,Le Nouvelliste,National,Armed clash,1,1582840328,2019
1118,Protesters (Haiti),,Ouest,Port-au-Prince,Port-au-Prince,,,Haiti,6958859,2019-04-14,HTI73,73,Protests,0,1,6,0,60,332,HTI,18.5435,Port-au-Prince,-72.3388,"On April 14, 2019, thousands of Haitian citizens took the streets of Port-au-Prince, Ouest, Haiti, to protest the security issues the country is facing. [size=unknown]",Caribbean,Loop News Jamaica,Regional,Peaceful protest,1,1582840329,2019
